appid,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,languages,genre,ccu,tags
576730,Spirit of Maya,Blind Recluse,Blind Recluse,,29,16,0,"0 .. 20,000",549,0,586,0,199,199,0,"English, Russian, Czech","Action, Indie",0,"{'Indie': 46, 'Action': 32}"
576740,FootRock 2,nobodyshot,nobodyshot,,45,9,0,"0 .. 20,000",0,0,0,0,99,99,0,"English, Russian, French, Italian, German, Spanish - Spain, Polish, Portuguese","Action, Indie, Sports",0,"{'Indie': 24, 'Action': 21, 'Sports': 21}"
576750,Ropes And Dragons VR,diman production,diman production,,42,9,0,"50,000 .. 100,000",0,0,0,0,99,99,0,"English, French, Italian, German, Spanish - Spain, Russian, Traditional Chinese, Korean","Action, Adventure, Indie",0,"{'Indie': 42, 'Action': 22, 'Adventure': 22, 'VR': 12}"
576770,Low Magic Age,Low Magic Studios,Low Magic Studios,,1588,139,0,"0 .. 20,000",119,0,119,0,1499,1499,0,"English, Simplified Chinese, Traditional Chinese","Adventure, Casual, Indie, RPG, Strategy, Early Access",39,"{'Early Access': 314, 'Dungeons & Dragons': 285, 'Turn-Based Combat': 278, 'Turn-Based Tactics': 274, 'Turn-Based Strategy': 270, 'Turn-Based': 267, 'Party-Based RPG': 265, 'Team-Based': 252, 'Grid-Based Movement': 249, 'Dungeon Crawler': 247, 'Medieval': 243, 'Old School': 237, 'Traditional Roguelike': 230, 'Character Customization': 227, 'Tactical RPG': 220, 'Strategy RPG': 215, 'Rogue-like': 205, 'CRPG': 205, 'Sandbox': 202, 'Adventure': 193}"
576790,Mesh Maker VR,CreateThis.com,CreateThis.com,,11,3,0,"0 .. 20,000",0,0,0,0,0,0,0,English,"Animation & Modeling, Early Access",0,"{'Animation & Modeling': 32, 'Early Access': 31, 'VR': 13, '3D Vision': 10}"
576800,Final Bravely,Windam,Bravely,,17,2,0,"0 .. 20,000",0,0,0,0,399,399,0,"English, French","Action, Adventure, Indie, RPG",0,"{'Action': 55, 'Adventure': 32, 'RPG': 31, 'Indie': 31, 'RPGMaker': 17, '2D': 12, 'Fantasy': 12, 'Action-Adventure': 11, 'Singleplayer': 11}"
576810,2 Ninjas 1 Cup,Vogelfänger,Vogelfänger,,118,28,0,"0 .. 20,000",0,0,0,0,69,99,30,"English, Polish, French, Italian, German, Spanish - Spain, Bulgarian, Czech, Danish, Finnish, Greek, Dutch, Norwegian, Portuguese, Portuguese - Brazil, Russian, Romanian, Swedish, Turkish, Hungarian","Action, Indie",3,"{'Action': 41, 'Indie': 37, 'Platformer': 22, 'Ninja': 21, '2D': 21, 'Comedy': 20, 'Difficult': 17, 'Singleplayer': 16, 'Great Soundtrack': 14, 'Casual': 13, 'Replay Value': 13, 'Memes': 11, 'Pixel Graphics': 5}"
576820,Colourise,Field Tested,Field Tested,,4,0,0,"0 .. 20,000",0,0,0,0,799,799,0,"English, German, Spanish - Spain","Casual, Indie",0,"{'Indie': 31, 'Casual': 31, 'VR': 15, 'Puzzle': 12, 'Abstract': 10}"
576840,RAYGUN COMMANDO VR,Chun Y.,Chun Y.,,69,10,0,"0 .. 20,000",0,0,0,0,0,0,0,English,"Casual, Free to Play, Indie",2,"{'Free to Play': 22, 'Indie': 21, 'Casual': 21, 'VR': 8}"
576860,Summer Nightmare,Team Summer Nightmare,Elkibe Games,,226,201,0,"50,000 .. 100,000",58,0,58,0,0,0,0,"English, Japanese","Adventure, Casual, Free to Play, Indie",1,"{'Free to Play': 69, 'Anime': 47, 'Horror': 46, 'Visual Novel': 45, 'Gore': 40, 'Casual': 39, 'Adventure': 37, 'Indie': 37, 'Psychological Horror': 28}"
576900,RAYGUN COMMANDO VR Demo,Chun Y.,Chun Y.,,59,7,0,"0 .. 20,000",0,0,0,0,0,0,0,English,"Casual, Indie",0,"{'Free to Play': 22, 'Indie': 21, 'Casual': 21, 'VR': 7}"
576910,Room Service,Sleet Games,Sleet Games,,0,0,0,"0 .. 20,000",0,0,0,0,0,0,0,English,"Action, Adventure, Indie",0,[]
576920,Ladykiller in a Bind  Original Soundtrack,Love Conquers All Games,Love Conquers All Games,,1,0,0,"0 .. 20,000",0,0,0,0,699,699,0,English,"Sexual Content, Nudity, Indie",0,"{'Nudity': 22, 'Indie': 21, 'Sexual Content': 21}"
576930,Professional Farmer 2017 - Cattle & Cultivation,VIS-Games,United Independent Entertainment GmbH,,0,1,0,"0 .. 20,000",0,0,0,0,699,699,0,"English, French, Italian, German, Spanish, Dutch, Polish, Hungarian",Simulation,0,{'Simulation': 21}
576940,Hunt For Gods,StarworkGC,StarworkGC,,60,32,0,"50,000 .. 100,000",0,0,0,0,0,0,0,"English, French, Italian, Spanish - Spain","Action, Free to Play, Strategy, Early Access",0,"{'Strategy': 44, 'Action': 41, 'Free to Play': 36, 'Early Access': 26, 'Great Soundtrack': 20, 'RPG': 14, 'VR': 6, 'Survival': 5, 'Multiplayer': 5}"
576950,Westard,SIEIDI Ltd,SIEIDI Ltd,,26,12,0,"0 .. 20,000",133,0,133,0,1499,1499,0,English,"Action, Indie, Early Access",0,"{'Action': 22, 'Indie': 22, 'Early Access': 21, 'VR': 12, 'Western': 11}"
576960,,Nuclear Tales,,,88,16,0,"20,000 .. 50,000",0,0,0,0,1499,1499,0,"English, Spanish - Spain, French, German","Adventure, Casual, Indie, RPG, Simulation, Strategy",3,"{'Simulation': 337, 'Strategy': 332, 'Choices Matter': 328, 'Crime': 325, 'Comedy': 322, 'Singleplayer': 316, 'Multiple Endings': 311, 'Story Rich': 308, 'Replay Value': 306, 'Funny': 303, 'Mature': 300, 'Dynamic Narration': 291, 'America': 278, 'Cartoony': 268, 'RPG': 263, '2D': 249, 'Adventure': 234, 'Choose Your Own Adventure': 229, 'Time Management': 224, 'Cartoon': 219}"
576980,Western 1849 Reloaded,Nawia Games,Nawia Games,,103,25,0,"0 .. 20,000",347,0,564,0,399,399,0,English,"Action, Casual, Indie",1,"{'Action': 47, 'Indie': 46, 'Casual': 44, 'Arcade': 24, 'Western': 23, 'Shooter': 15, 'Third-Person Shooter': 12, 'On-Rails Shooter': 8}"
576990,My Friend's Rubber Ducky,,,,0,0,0,"0 .. 20,000",0,0,0,0,499,499,0,English,Movie,0,[]
577000,Witchcraft,Silky Smooth Studio,Silky Smooth Studio,,6,0,0,"0 .. 20,000",0,0,0,0,499,499,0,English,"Action, Indie, RPG, Strategy",0,"{'Action': 22, 'Strategy': 21, 'Indie': 20, 'RPG': 19}"
577010,Game of Aces,,,,0,0,0,"0 .. 20,000",0,0,0,0,499,499,0,English,Movie,0,[]
577020,"Planes, Bullets and Vodka: Soundtrack",NukGames,NukGames,,24,3,0,"0 .. 20,000",0,0,0,0,0,0,0,"English, Portuguese-Brazil, German","Action, Casual, Indie",0,"{'Action': 21, 'Indie': 21, 'Casual': 21}"
577030,The Tenth Line - Digital Art Book + Soundtrack,Sungazer Software,Sungazer Software,,1,0,0,"0 .. 20,000",0,0,0,0,499,499,0,English,"Indie, RPG",0,"{'RPG': 21, 'Indie': 21}"
577080,A Dump in the Dark,Oubliette,Oubliette,,146,74,0,"0 .. 20,000",115,0,115,0,199,199,0,English,"Action, Adventure, Casual, Indie, Simulation, Strategy",0,"{'Sexual Content': 27, 'Gore': 26, 'Nudity': 26, 'Simulation': 24, 'Horror': 24, 'Violent': 24, 'Indie': 23, 'Action': 22, 'Casual': 22, 'Adventure': 21, 'Strategy': 17, 'Memes': 9, 'Psychological Horror': 6}"
577100,Boundel Soundtrack by James Thorley,James Thorley,Eren Aydin,,1,0,0,"0 .. 20,000",0,0,0,0,99,99,0,English,"Indie, Massively Multiplayer, RPG",0,"{'RPG': 20, 'Massively Multiplayer': 20, 'Indie': 20}"
577110,Age of Fear: Concept Art Book,Leslaw Sliwko,,,0,0,0,"0 .. 20,000",0,0,0,0,399,399,0,English,"Indie, RPG, Strategy",0,[]
576200,Fantasy Grounds - Mini-Dungeon #015: Torment at Torni Tower (PFRPG),"SmiteWorks USA, LLC",,,0,0,0,"0 .. 20,000",0,0,0,0,299,299,0,English,"Indie, RPG, Strategy",0,[]
576210,Soda Drinker Pro - Soundtrack,Snowrunner Games,,,5,0,0,"0 .. 20,000",0,0,0,0,0,0,0,English,"Action, Simulation",0,"{'Action': 21, 'Simulation': 21}"
576220,Fantasy Grounds - Scorpions of Perdition (PFRPG),"SmiteWorks USA, LLC",,,0,0,0,"0 .. 20,000",0,0,0,0,999,999,0,English,"Indie, RPG, Strategy",0,[]
576230,Home Tech VR,360 Evolve VR Pty Ltd,360 Evolve VR Pty Ltd,,0,0,0,"0 .. 20,000",0,0,0,0,499,499,0,English,"Casual, Indie, Simulation, Strategy, Early Access",0,[]
576250,Fantasy Grounds - B03: It All Falls Down (5E),"SmiteWorks USA, LLC",,,0,0,0,"0 .. 20,000",0,0,0,0,699,699,0,English,"Indie, RPG, Strategy",0,[]
576270,Fantasy Grounds - Dead Light (CoC7E),"SmiteWorks USA, LLC",,,0,0,0,"0 .. 20,000",0,0,0,0,599,599,0,English,"Indie, RPG, Strategy",0,[]
576280,Arena Hero,KatsMakesGames,KatsMakesGames,,39,6,0,"0 .. 20,000",0,0,0,0,199,999,80,English,"Action, Indie, RPG, Strategy",1,"{'Action': 36, 'Indie': 34, 'RPG': 32, 'Strategy': 31, 'Hack and Slash': 17, 'Loot': 12, 'Difficult': 11}"
576290,Huckleberry Falls,Fatcat Games,Fatcat Games,,4,2,0,"0 .. 20,000",0,0,0,0,299,299,0,English,"Indie, RPG, Strategy",0,"{'Strategy': 30, 'Indie': 30, 'RPG': 29, 'Puzzle': 13}"
576300,SENRAN KAGURA ESTIVAL VERSUS - Naraku,Tamsoft,"XSEED Games, Marvelous USA, Inc.",,24,2,0,"0 .. 20,000",0,0,0,0,399,399,0,"English, Japanese","Nudity, Action",0,"{'Action': 22, 'Nudity': 19}"
576310,Oracle,Watercolor Games,Watercolor Games,,114,104,0,"50,000 .. 100,000",290,0,291,0,99,99,0,"English, German, Russian, Simplified Chinese","Adventure, Casual, Indie, Simulation",0,"{'Adventure': 64, 'Indie': 44, 'Walking Simulator': 38, 'Casual': 34, 'Simulation': 33, 'Open World': 30, 'Atmospheric': 24, 'Singleplayer': 24, 'Story Rich': 23, 'First-Person': 17, 'Great Soundtrack': 11}"
576320,Economic Conquest,Frismos,Frismos,,23,25,0,"0 .. 20,000",0,0,0,0,0,0,0,English,"Casual, Indie, Simulation, Strategy",0,"{'Simulation': 25, 'Strategy': 22, 'Casual': 22, 'Indie': 21, 'Economy': 11}"
576330,Riding Out Demo,UnexEvo,UnexEvo,,67,52,0,"0 .. 20,000",0,0,0,0,0,0,0,"English, German","Racing, RPG, Simulation",0,"{'Early Access': 27, 'Horses': 29, 'Racing': 28, 'Simulation': 27, 'RPG': 26, 'Massively Multiplayer': 6}"
576370,Cubians VR,IKINA GAMES,IKINA GAMES,,10,3,0,"0 .. 20,000",0,0,0,0,999,999,0,English,"Casual, Strategy",0,"{'Strategy': 21, 'Casual': 20, 'VR': 9}"
